id,textOfTweet,userScreenName,followers,isRetweet,statusId,userId,timestamp
1,"@neymarjr @Uelinton___ Toca a bola",Tisso__,813,false,916359869455847424,3123615706,"2017-10-06 12:49:52"
2,"RT @RomeluLukaku9: United  ! @ManUtd https://t.co/lNsQs0Sc2c",Silasobzzy2,8,true,916359870600925185,890694492730392578,"2017-10-06 12:49:52"
3,"@3gerardpique No me asusten as , por favor! Seguir  cantando https://t.co/56JjTCf5n6",la_portella,41628,false,916359875470479360,50907102,"2017-10-06 12:49:54"
4,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",MVedruna,13,true,916359876007415810,910580214551515137,"2017-10-06 12:49:54"
5,"@Cristiano @EASPORTSFIFA Greatest advert for a FIFA game!     I don't often do skill moves in game but I'll try thi  https://t.co/BCQuSVLUaZ",CarefreeTom_182,1201,false,916359883649376256,39816034,"2017-10-06 12:49:56"
6,"RT @LuisSuarez9: Always ready with @adidasfootball    Siempre listo con adidas   #X17 #HereToCreate https://t.co/Y5165DDj2u",Silasobzzy2,8,true,916359888670023682,890694492730392578,"2017-10-06 12:49:57"
7,"RT @neymarjr: #GaGaMilano @GaGaMilanoWorld https://t.co/abthpuzwqb",Silasobzzy2,8,true,916359891924680707,890694492730392578,"2017-10-06 12:49:58"
8,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",DBieber98,804,true,916359894340472837,1881693272,"2017-10-06 12:49:58"
9,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",lili_bdn,452,true,916359903668731904,2162919754,"2017-10-06 12:50:00"
10,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",nandombravo,1832,true,916359915710615552,195005813,"2017-10-06 12:50:03"
11,"@3gerardpique        https://t.co/NgAu9FmNUy",iMzMzi,13160,false,916359933666439169,953413290,"2017-10-06 12:50:07"
12,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",fawaz_kwt93,1796,true,916359936812179456,596306948,"2017-10-06 12:50:08"
13,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",LouisVerbrugge,213,true,916359947025305601,4614619942,"2017-10-06 12:50:11"
14,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",carpwilk,813,true,916359958127661056,862131055,"2017-10-06 12:50:13"
15,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",Marcfortuny,243,true,916359961227259912,192009485,"2017-10-06 12:50:14"
16,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",AleexFajardo,308,true,916359979841359873,105026649,"2017-10-06 12:50:18"
17,"RT @neymarjr: Que Deus nos aben oe e nos proteja     
God belas and protect us      https://t.co/XXQk3Ah9uU",brendamichell4,174,true,916359983800967169,552991414,"2017-10-06 12:50:19"
18,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",shakira_nz,262,true,916359992680124416,797337029629472768,"2017-10-06 12:50:22"
19,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",melissaagalindo,494,true,916359992743149568,538572254,"2017-10-06 12:50:22"
20,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",PulgaDoubleBeng,303,true,916359996971069440,309114331,"2017-10-06 12:50:23"
21,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",GabyE_05,774,true,916360007708536832,1303976316,"2017-10-06 12:50:25"
22,"@neymarjr Neymar injured https://t.co/9bR1XJsoUx",egemercan100,4,false,916360032392024065,914240298477342722,"2017-10-06 12:50:31"
23,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",brunoleoribeiro,1550,true,916360045541064704,91106374,"2017-10-06 12:50:34"
24,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",lour_9806,524,true,916360073559060480,4894873418,"2017-10-06 12:50:41"
25,"@3gerardpique Hace una semana, los colores de Catalunya",HermelQuintana,1100,false,916360079242399745,260377201,"2017-10-06 12:50:42"
26,"@3gerardpique                                            ",fawaz_kwt93,1796,false,916360081675051008,596306948,"2017-10-06 12:50:43"
27,"RT @Cristiano: Read my story on @Playerstribune.
Find out more: https://t.co/kMPu6WwQKz
#Mercurial #CR7 #NikeFootball https://t.co/Hm6Dt18D ",bombin87,488,true,916360090407657472,618642077,"2017-10-06 12:50:45"
28,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",MUFC_H1878,706,true,916360130702331911,1463265708,"2017-10-06 12:50:54"
29,"RT @Cristiano:    https://t.co/7dDGhK1pxZ",bombin87,488,true,916360134791704576,618642077,"2017-10-06 12:50:55"
30,"RT @neymarjr: Muita mela  o !! Gosto de mais A  O",bridgeskcc,1302,true,916360146518970370,2399872226,"2017-10-06 12:50:58"
31,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",EduRoodrig,1786,true,916360148960112641,723867756,"2017-10-06 12:50:59"
32,"RT @Cristiano: Match day tomorrow. Let s do this   #Mercurial #CR7 #NikeFootball 
available on https://t.co/gqzYq3gxeU, September  ",bombin87,488,true,916360154114936832,618642077,"2017-10-06 12:51:00"
33,"@3gerardpique Us estimem junts!! Q no marxi @shakira !!  ",MontseTeule,19,false,916360154672754690,239337388,"2017-10-06 12:51:00"
34,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",LoliPier,124,true,916360167398281222,718167675483131906,"2017-10-06 12:51:03"
35,"@3gerardpique Posted 1h ago sorry @messipeters",peacexxanna,1431,false,916360176285954048,79527681,"2017-10-06 12:51:05"
36,"RT @3gerardpique:        https://t.co/l0ctSvB4CD",Cris1971SanPas,11,true,916360182866817024,900017814022610944,"2017-10-06 12:51:07"
37,"RT @AnthonyMartial:    @FootLockerEU #approved https://t.co/Xs5BOr9qbt",gabbyjay2000,4,true,916360205276991489,909574337937715200,"2017-10-06 12:51:12"
38,"RT @Cristiano:        https://t.co/5qzZSLYeq9",manu_pinto11,561,true,916360210020790274,3087100292,"2017-10-06 12:51:13"
